index,duration,protocol,src_ip,dst_ip,src_port,dst_port,packet_count,byte_count,packets_per_sec,bytes_per_sec,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_inter_arrival_time,std_inter_arrival_time,syn_count,fin_count,rst_count,psh_count,ack_count,urg_count,syn_ratio,fin_ratio,rst_ratio,is_well_known_port,label,attack_type
6252,5.141228228246774,TCP,10.0.2.15,10.0.1.4,55980,443,46,22228,8.947278346304147,4323.4805017749695,483.2173913043478,104.03625335042679,241,724,0.11176583104884293,0.07939916739933321,1,1,0,2,44,0,0.021739130434782608,0.021739130434782608,0.0,1,0,normal
4684,0.504633842718282,UDP,10.0.2.8,10.0.2.1,58782,161,9,569,17.83471348556454,1127.5502192540248,63.22222222222222,16.745708817169106,31,94,0.056070426968698,0.004611392339131571,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
1731,0.4090729308080192,UDP,10.0.3.2,10.0.1.13,7146,161,10,861,24.445518749548036,2104.759164336086,86.1,11.45625333288277,43,129,0.04090729308080192,0.09639058371049483,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
4742,1.3926445647968628,TCP,10.0.2.3,10.0.1.10,13814,110,41,4701,29.440390632609432,3375.5921064365107,114.65853658536585,33.66615688056058,57,171,0.03396694060480153,0.0810687346565958,1,1,0,8,39,0,0.024390243902439025,0.024390243902439025,0.0,1,0,normal
4521,9.440273685349757,TCP,10.0.1.17,10.0.1.18,35538,21,16,35563,1.694866116522681,3767.1577313685066,2222.6875,239.95937348138443,1111,3334,0.5900171053343598,0.03775948109981769,1,1,0,3,14,0,0.0625,0.0625,0.0,1,0,normal
6340,1.3335473030254903,TCP,10.0.3.17,10.0.1.18,65079,22,39,40961,29.245306793031343,30715.82080895787,1050.2820512820513,118.34178377576981,525,1575,0.03419352059039719,0.05068485594814147,1,1,0,4,37,0,0.02564102564102564,0.02564102564102564,0.0,1,0,normal
576,0.6828495968430462,ICMP,10.0.2.12,10.0.3.15,0,0,1,64,1.4644513295800496,93.72488509312318,64.0,9.855604501859023,32,96,0.0,0.08677559364220351,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
5202,0.30201802015356366,UDP,10.0.3.15,10.0.2.15,24341,53,1,767,3.311060709197224,2539.5835639542706,767.0,204.67868435663013,383,1150,0.0,0.055114294162349434,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
6363,0.18149871960528685,UDP,10.0.3.3,10.0.1.14,15624,53,10,1362,55.096807414109776,7504.185169801752,136.2,28.65794402999542,68,204,0.018149871960528686,0.04580114983451531,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
439,0.7518581215216587,UDP,10.0.1.17,10.0.2.6,10706,161,2,1138,2.660076339871506,1513.5834373868872,569.0,120.21537773047774,284,853,0.3759290607608293,0.05281584869608541,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
2750,0.13837741374948648,ICMP,10.0.2.9,10.0.1.13,0,0,3,192,21.679838629092263,1387.5096722619048,64.0,14.500961422369231,32,96,0.04612580458316216,0.07234541598009461,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
7487,0.7431234479733168,TCP,192.168.100.4,10.0.1.19,25490,80,482,28920,648.6136338646485,38916.81803187891,60.0,5.0,54,66,0.0015417498920608232,0.001,482,0,0,0,0,0,1.0,0.0,0.0,1,1,syn_flood
5272,0.29141103753305564,ICMP,10.0.1.4,10.0.3.4,0,0,4,256,13.726316044382045,878.4842268404509,64.0,9.358018470978694,32,96,0.07285275938326391,0.013403992815830497,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
5653,0.9937009338232236,UDP,10.0.2.7,10.0.1.11,42326,123,4,669,4.025355983726577,673.24078827827,167.25,37.34578908974822,83,250,0.2484252334558059,0.025157553142361046,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
3999,3.2614065443560714,TCP,10.0.3.9,10.0.3.15,21927,22,34,21210,10.424949952601791,6503.329073373059,623.8235294117648,84.3976491834689,311,935,0.09592372189282562,0.031201804757266905,1,1,0,4,32,0,0.029411764705882353,0.029411764705882353,0.0,1,0,normal
6033,1.2349498663936316,ICMP,10.0.3.12,10.0.2.4,0,0,5,320,4.048747350855039,259.1198304547225,64.0,11.240572736451503,32,96,0.24698997327872632,0.03348869894890345,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
582,0.3621145258424559,UDP,10.0.3.8,10.0.1.8,9452,161,1,208,2.76155726609837,574.403911348461,208.0,25.581600266054487,104,312,0.0,0.08838737633489861,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
9930,1.8515742506606208,TCP,192.168.100.7,10.0.3.5,56232,80,118,127322,63.72955335596125,68764.18807108219,1079.0,200.0,200,1500,0.01569130720898831,0.001,1,1,0,17,116,0,0.00847457627118644,0.00847457627118644,0.0,1,1,http_flood
7051,0.92966388705683,TCP,192.168.100.4,10.0.1.19,20225,80,860,51600,925.0655123569713,55503.930741418284,60.0,5.0,54,66,0.0010810045198335232,0.001,860,0,0,0,0,0,1.0,0.0,0.0,1,1,syn_flood
8158,0.41398372790504284,TCP,192.168.100.2,10.0.3.17,25236,5046,3,180,7.246661638565954,434.79969831395726,60.0,2.0,54,66,0.1379945759683476,0.001,3,0,3,0,0,0,1.0,0.0,1.0,1,1,port_scan
