index,duration,protocol,src_ip,dst_ip,src_port,dst_port,packet_count,byte_count,packets_per_sec,bytes_per_sec,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,mean_inter_arrival_time,std_inter_arrival_time,syn_count,fin_count,rst_count,psh_count,ack_count,urg_count,syn_ratio,fin_ratio,rst_ratio,is_well_known_port,label,attack_type
6252,0.31069910166128967,UDP,10.0.1.10,10.0.1.8,63395,161,5,986,16.092740446513353,3173.488416052433,197.2,48.79642363271129,98,295,0.062139820332257935,0.04872947529673561,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
4684,9.229076829545521,TCP,10.0.1.17,10.0.2.8,59384,110,15,18800,1.6252979877662004,2037.0401446669712,1253.3333333333333,250.08731272419288,626,1880,0.6152717886363681,0.004782670242469424,1,1,0,9,13,0,0.06666666666666667,0.06666666666666667,0.0,1,0,normal
1731,0.9479769893148668,TCP,10.0.1.12,10.0.2.13,55917,110,7,10641,7.384145479163078,11224.956006253475,1520.142857142857,208.36969249551044,760,2280,0.1354252841878381,0.03845414274031259,1,1,0,7,5,0,0.14285714285714285,0.14285714285714285,0.0,1,0,normal
4742,5.537418465957006,TCP,10.0.3.3,10.0.1.12,44840,3306,30,24727,5.417686993394898,4465.438209522521,824.2333333333333,216.30256758469704,412,1236,0.1845806155319002,0.088084930579473,1,1,0,2,28,0,0.03333333333333333,0.03333333333333333,0.0,0,0,normal
4521,2.885533169233133,TCP,10.0.3.1,10.0.3.1,28593,3306,29,17735,10.050135728540981,6146.177832609459,611.551724137931,65.2949237621161,305,917,0.09950114376665976,0.06102090039067438,1,1,0,7,27,0,0.034482758620689655,0.034482758620689655,0.0,0,0,normal
6340,7.244926529407811,TCP,10.0.3.9,10.0.3.19,29646,22,7,44780,0.9661933729191549,6180.8770341885365,6397.142857142857,1681.5137320209897,3198,9595,1.034989504201116,0.08175741436211521,1,1,0,10,5,0,0.14285714285714285,0.14285714285714285,0.0,1,0,normal
576,0.5407617032328985,UDP,10.0.2.5,10.0.2.5,21069,53,8,283,14.793947042056919,523.3358766127635,35.375,4.368892926540186,17,53,0.06759521290411231,0.024093098211486384,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
5202,1.7421384528191073,ICMP,10.0.2.7,10.0.2.4,0,0,4,256,2.2960287648362554,146.94584094952035,64.0,16.546598508531545,32,96,0.4355346132047768,0.020336596278113652,0,0,0,0,0,0,0.0,0.0,0.0,1,0,normal
6363,6.365673057843729,TCP,10.0.2.5,10.0.2.4,15339,110,21,46577,3.2989441664968915,7316.901068710748,2217.9523809523807,439.1171649508466,1108,3326,0.303127288468749,0.07381553965145478,1,1,0,6,19,0,0.047619047619047616,0.047619047619047616,0.0,1,0,normal
439,9.10283211672325,TCP,10.0.1.8,10.0.1.13,17821,3306,11,38585,1.2084151238812118,4238.790686814233,3507.7272727272725,1005.2473873153424,1753,5261,0.8275301924293864,0.04101688221135803,1,1,0,6,9,0,0.09090909090909091,0.09090909090909091,0.0,0,0,normal
